extension,repos,files
.aps,72,297
.avi,72,254
.3/readme,72,146
.tm_properties,72,130
.com/coreos/pkg/license,72,125
.com/onsi/ginkgo/reporters/stenographer/support/go-colorable/license,72,115
.com/onsi/ginkgo/reporters/stenographer/support/go-isatty/license,72,110
.xbm,71,3610
.replay,71,993
.priv,71,866
.me,71,467
.tc,71,345
.bk,71,206
.gdb,71,190
.dj2,71,154
.json~,71,136
.com/go-logfmt/logfmt/license,71,105
.bas,70,8136
.19,70,603
.upstart,70,352
.schemas,70,262
.1/copying,70,134
.textproto,69,8286
.vala,69,5483
.rdata,69,4283
.cf,69,3177
.njk,69,2568
.lds,69,1355
.html~,69,226
.dummy,69,208
.fcgi,69,206
.0/configure,69,152
.com/coreos/pkg/notice,69,112
.com/coreos/etcd/license,69,104
.dds,68,4806
.svgz,68,1175
.simple,68,470
.rhtml,67,4819
.rnc,67,1774
.hdr,67,732
.wat,67,724
.cbproj,67,465
.master,67,347
.cron,67,162
.riscos,67,132
.com/opencontainers/runc/license,67,120
.com/burntsushi/toml/cmd/toml-test-decoder/copying,67,105
.com/burntsushi/toml/cmd/toml-test-encoder/copying,67,105
.com/burntsushi/toml/cmd/tomlv/copying,67,105
.sc,66,5501
.fxml,66,3118
.tbl,66,2302
.fits,66,2091
.gpx,66,1531
.fsx,66,1360
.xpi,66,704
.dependencies,66,555
.ogv,66,336
.yy,66,336
.23,66,329
.scpt,66,251
.contrib,66,126
.v2/copying,66,104
.com/alecthomas/template/license,66,103
.asset,65,56752
.result,65,31182
.bb,65,26942
.uml,65,403
.sin,65,367
.17,65,362
.25,65,308
.emx,65,213
.doxygen,65,201
.runsettings,65,201
.bbl,65,187
.com/opencontainers/runc/notice,65,104
.nt,64,4683
.elm,64,2634
.bundle,64,2178
.off,64,1106
.avsc,64,753
.rsp,64,532
.cygwin,64,121
.mid,63,3912
.want,63,1275
.jsonl,63,583
.extension,63,531
.fc,63,275
.applescript,63,236
.pth,63,222
.bash-completion,63,179
.doxyfile,63,178
.bash_profile,63,107
.dae,62,3259
.jsonnet,62,2854
.pde,62,2301
.jnlp,62,1194
.doxy,62,501
.internal,62,491
.app,62,351
.history,62,206
.2/dockerfile,62,187
.lzma,62,166
.autosave,62,158
.686,62,106
.pubkey,62,104
.macos,62,101
.sol,61,9501
.pyd,61,1764
.rda,61,1101
.tfvars,61,892
.h~,61,244
.alpine,61,174
.1/changelog,61,149
.fx,60,2086
.edn,60,912
.vs,60,865
.control,60,567
.pbxuser,60,228
.egg-info/not-zip-safe,60,181
.epub,60,173
.dir,60,153
.macosx,60,111
.pup,60,101
.symbols,59,24940
.wrap,59,3312
.razor,59,2219
.tst,59,1906
.vtt,59,1363
.dist-info/metadata,59,1040
.gltf,59,880
.msvc,59,475
.gv,59,374
.sgi,59,220
.1/dockerfile,59,189
.dmg,59,171
.ide,59,106
.ebuild,58,39258
.svelte,58,5439
.dist-info/wheel,58,1041
.glb,58,763
.pgm,58,640
.preinst,58,374
.rc2,58,280
.foo,58,200
.webapp,58,153
.gdbinit,58,135
.pk,58,133
.pid,58,109
.com/opencontainers/runc/libcontainer/user/maintainers,58,107
.snippets,57,3150
.es6,57,1861
.sav,57,1586
.dsc,57,814
.jnilib,57,361
.24,57,306
.com/boltdb/bolt/license,57,101
.re,56,2305
.parquet,56,1346
.dist-info/record,56,1010
.flex,56,597
.marks,56,432
.vsixmanifest,56,311
.dj,56,250
.xcscmblueprint,56,146
.0/changes,56,117
.vhd,55,7137
._,55,4141
.packages,55,395
.zshrc,55,173
.bazelignore,55,136
.check_cache,55,125
.page,54,5309
.pcap,54,3039
.shader,54,2059
.bc,54,1135
.tap,54,1109
.es,54,1067
.api,54,1031
.sys,54,755
.pxi,54,709
.php~,54,390
.pxm,54,351
.private,54,127
.v4/license,54,114
.2/makefile,54,107
